weekstart,country,totbookings,clicks_email,clicks_ppc_brand,clicks_ppc_non_brand,clicks_remarketing,clicks_shop_GoogleHA,clicks_shop_TripAdvisor,clicks_shop_Trivago,clicks_shop_other,cost_email,cost_ppc_brand,cost_ppc_non_brand,cost_remarketing,cost_shop_GoogleHA,cost_shop_TripAdvisor,cost_shop_Trivago,cost_shop_other,display_imps,display_net_spend_eur,olv_imps,olv_net_spend_eur,yt_imps,yt_cost,brandtv_grp,brandtv_net_spend_eur,drtv_grp,drtv_net_spend_eur,ooh_net_spend_eur,radio_net_spend_eur,print_net_spend_eur,cinema_net_spend_eur,meta_comp_grp,ota_comp_grp,value (currency rate),fb_imps,fb_cost,NewYearsDay,MartinL.KingsDay(US-CA),StValentinesDay,PresidentsDay(US-CA),EasterSunday,EasterMonday,LabourDay(DE-NW),MayDay(GB-EN),ChristsAscensionDay(DE-NW),WhitMonday(DE-NW),Remembrance/MemorialDay(US-CA),BankHoliday(GB-EN),IndependenceDay(US-CA),LabourDay(US-CA),GermanUnityDay(DE-NW),ThanksgivingDay(US-CA),ChristmasDay,BoxingDay,sales_Direct,sales_EMK,sales_Interco,sales_ppc_brand,sales_ppc_nonbrand,sales_Retargeting,sales_shop_googleha,sales_shop_other,sales_shop_tripadvisor,sales_shop_trivago,sales_Strat Part,spend_performance,spend_awareness_dig,spend_awareness_off,spend_awareness_total,t,woy,sin_woy,cos_woy,year,adstock_perf,adstock_aware,f_perf,f_aware,f_brand,y
2016-01-04,de,398268.0,474859.0,378640.216496467,2496438.105482676,172069.87848567544,133462.1228326834,367987.9780368065,847827.0122455618,250527.00000234373,0.0,68560.24028723918,2196493.639246079,58684.506091931464,170087.67654555157,283108.4602354565,377911.5653610819,103139.32064353781,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.0,321.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183169.0,16703.0,867.0,48228.0,87808.0,2040.0,10423.0,4678.0,9503.0,18302.0,16547.0,3257985.4084108775,0.0,0.0,0.0,1.0,1,0.12053668025532306,0.992708874098054,2016.0,3257985.4084108775,0.0,14.996619896376947,0.0,0.0,12.894882935359945
2016-01-11,de,404068.0,478024.0,386722.3779125776,2520207.847711387,198123.39674614757,136016.48013114033,353354.8448400918,961232.4792121585,278878.6497169609,0.0,70502.24807556652,2306422.3057122924,76380.20708756169,193176.38659508977,257639.56583605034,471254.19772818114,116137.87827610009,0.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0,225.0,1.0,57831.0,89.38632472434621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184480.0,16278.0,858.0,49076.0,87383.0,2236.0,11107.0,5019.0,9143.0,21148.0,17340.0,3491512.789310842,0.0,0.0,0.0,2.0,2,0.23931566428755777,0.970941817426052,2016.0,5446304.034357368,0.0,15.510447961362939,0.0,0.0,12.909340934439188
2016-01-18,de,388746.0,482391.0,372694.0751970905,2538803.218243045,186402.47644404447,126167.2554736897,332119.4154158487,912773.599042488,288057.500725426,0.0,61647.322276398714,2379033.568178231,81636.48345888322,191568.47780210254,247711.89223694362,439863.1765918453,116345.87218029724,0.0,0.0,0.0,0.0,10249.0,1.459669454521363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.0,231.0,1.0,104754.0,231.02764180934932,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178895.0,15822.0,806.0,45575.0,85257.0,2224.0,10048.0,4963.0,8568.0,19715.0,16873.0,3517806.792724701,0.0,0.0,0.0,3.0,3,0.3546048870425356,0.9350162426854148,2016.0,6785589.213339122,0.0,15.73031183543237,0.0,0.0,12.870684025404003
2016-01-25,de,391945.0,477310.0,367930.61482652684,2520337.9856762104,203471.1610911142,127212.7185336081,299462.6513030635,1063155.0151859396,281681.7670538152,0.0,58113.630201422224,2342181.6127499267,97974.91660718997,210296.03351842173,220940.04813301723,499118.5175060062,117989.86840617268,0.0,0.0,0.0,0.0,6144.0,4.025302034241702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.0,224.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178961.0,15441.0,770.0,46037.0,84483.0,2498.0,10234.0,5266.0,8065.0,22804.0,17386.0,3546614.627122157,0.0,0.0,0.0,4.0,4,0.46472317204376856,0.8854560256532099,2016.0,7617968.155125629,0.0,15.846020377065997,0.0,0.0,12.878879354181453
2016-02-01,de,389989.0,475233.0,352899.3307616926,2354454.8404535092,205548.00983091973,130732.60389547155,281375.92507126887,1059135.1027102878,259377.43380454154,0.0,56688.93115164403,2242276.1837176606,95282.00638886205,214412.05592744044,204314.70074360108,487391.44644863316,123253.97857337822,0.0,0.0,0.0,0.0,2.0,0.00998691270776077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.0,341.0,1.0,248451.0,476.43630731875004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178238.0,15610.0,807.0,45020.0,83448.0,2481.0,10490.0,5186.0,7610.0,23259.0,17840.0,3423619.3029512195,0.0,0.0,0.0,5.0,5,0.5680647467311558,0.8229838658936564,2016.0,7994400.196026597,0.0,15.894252004137755,0.0,0.0,12.87387637675145
2016-02-08,de,414721.0,491924.0,367998.6765184222,2488595.9553012378,204123.44598208505,147382.72458148043,315229.1435456392,1204809.140244811,263735.0458903978,0.0,54926.65395066809,2365102.419772446,91506.70939205232,220481.7486613308,190109.3810875779,559927.6458554559,122457.49601116175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.0,291.0,1.0,609920.0,2040.5844969119175,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188919.0,16211.0,819.0,47840.0,88046.0,2464.0,12092.0,5458.0,7614.0,26729.0,18529.0,3604512.0547306924,0.0,0.0,0.0,6.0,6,0.6631226582407952,0.7485107481711011,2016.0,8401152.172346652,0.0,15.943879536813393,0.0,0.0,12.935363695225227
2016-02-15,de,415016.0,503387.0,373868.58370276453,2459958.2767518526,183311.0763913794,136671.60807377443,301414.3657963328,1071521.3325445366,264714.7206077583,0.0,54102.82476828198,2317620.1439300994,79473.1364383877,214109.54065908314,211760.5608041595,495390.6498666856,125706.44647147658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,266.0,1.0,114455.0,738.8475576414354,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191715.0,16960.0,887.0,48523.0,87875.0,2378.0,11349.0,5238.0,7208.0,23865.0,19018.0,3498163.3029381745,0.0,0.0,0.0,7.0,7,0.7485107481711011,0.6631226582407953,2016.0,8538854.606346164,0.0,15.960137552844692,0.0,0.0,12.93607476222926
2016-02-22,de,409021.0,494235.0,369257.7945223153,2403384.4925821624,172451.4767211094,148840.69575402956,272328.29312522337,1041516.0981524992,245449.5373056262,0.0,72957.12363530569,2219492.016426854,76183.13451734948,242566.2659080805,194929.0895889711,479242.28628614265,120865.17252356581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,227.0,1.0,122752.0,868.4636028812024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187688.0,16543.0,934.0,47936.0,87440.0,2135.0,11791.0,5212.0,7065.0,23694.0,18583.0,3406235.088886269,0.0,0.0,0.0,8.0,8,0.8229838658936565,0.5680647467311558,2016.0,8529547.852693968,0.0,15.959047028584283,0.0,0.0,12.921524223309374
2016-02-29,de,427587.0,504765.0,374382.9353520388,2434885.7341931816,201013.4008773499,157733.90620157702,265261.0401290513,1069565.4537254686,238966.98771667818,0.0,79425.74592234446,2274384.519543373,86922.1624105607,273726.04438379983,206219.61095583453,501052.72298117867,123391.17498815156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,163.0,1.0,101856.0,756.971372592269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195304.0,16510.0,1018.0,49602.0,92301.0,2636.0,12457.0,5436.0,7876.0,25561.0,18886.0,3545121.9811852425,0.0,0.0,0.0,9.0,9,0.8854560256532099,0.4647231720437686,2016.0,8608129.048604287,0.0,15.968217669146473,0.0,0.0,12.965915394128386
2016-03-07,de,420821.0,486496.0,381225.6348871999,2425387.33384516,139679.41983785888,152003.09459846542,282356.0703232722,1003399.3581923095,221821.71059355658,0.0,81460.9545063622,2290431.257924713,56497.18628145359,259850.9903090254,225297.08259756127,476679.6004741409,123983.22599811,1106.0,25.0,1825108.0,41211.0,1531152.0,27412.89645225685,146.65,1156604.46,0.0,0.0,0.0,0.0,0.0,107849.02,471.0,142.0,1.0,4690834.0,14833.807669229915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193168.0,15734.0,1108.0,48971.0,92006.0,1800.0,11964.0,4992.0,8178.0,24110.0,18790.0,3514200.298091367,41236.0,1264453.48,1305689.48,10.0,10,0.9350162426854148,0.35460488704253557,2016.0,8620433.71980263,1305689.48,15.969646072899877,14.082242562261332,14.082242562261332,12.949965220407835
